"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"null","normal",50,0.94978,0.949526,-0.000253999999999976,-0.0012698571728568,3.7763401984127,0.186298581278261,3.03064684342467,0.183037607506688,0.692563312788774,0.94039314463515,0.325919592492221,15.168997776141,NA,0.542883523318981,0.186301350913214,4.17829549296896
"2",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"null","normal",50,0.950422,0.950184,-0.00023799999999996,-0.0048026194883746,1.62915313171096,0.102264337729334,0.697350162878688,0.101986638057363,0.28535398376449,0.9498,0.4341,16.2763071411035,NA,0.251984209978975,0.102366159067794,1.00894080061757
"3",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"cauchy","normal",50,0.54904,0.635052,0.086012,0.0650376656215801,1.80216330891331,0.145120469230495,1.60680856255154,0.147024203146726,0.930816167577428,0.958413349368611,0.619968771296853,15.168997776141,NA,0.542883523318981,0.146628350915833,1.84275131057838
"4",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"cauchy","normal",50,0.548568,0.635104,0.0865360000000001,0.0760595187234748,1.13471854333537,0.0803601015916147,0.348759822754507,0.0813443890604937,0.29777990421294,0.9553,0.7607,16.2763071411035,NA,0.251984209978975,0.0810401294899757,0.420388164145032
"5",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"realistic","normal",50,0.433286,0.55524,0.121954,0.100954934717307,1.30497446053946,0.149113919354805,1.07614873324864,0.150266711866574,1.08200126050604,0.954037612657721,0.756461005407571,15.168997776141,NA,0.542883523318981,0.150585263847755,1.14982625198848
"6",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"realistic","normal",50,0.434156,0.55414,0.119984,0.116759854408008,0.983447494731531,0.079455311725283,0.274486026103646,0.0799294639135472,0.306789748287654,0.9505,0.8812,16.2763071411035,NA,0.251984209978975,0.0795206996709678,0.286890332536912
"7",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"large","normal",50,0.216786,0.499286,0.2825,0.261039711314745,1.01440024121501,0.14547002859743,0.538851664796444,0.145314083503374,0.725305618600406,0.9506,0.8593,15.168997776141,NA,0.542883523318981,0.147044459979257,0.550861626766607
"8",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"large","normal",50,0.218594,0.500604,0.28201,0.277090232219213,0.923455291397158,0.0755585244451361,0.190625951886593,0.0769128227430338,0.237263891348571,0.9534,0.932,16.2763071411035,NA,0.251984209978975,0.075718523039895,0.192063542160389
"9",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"worst","normal",50,0.71916,0.834504,0.115344,0.115843606812452,1.99096102841603,0.171647977559895,1.53269674548702,0.171580920726798,0.602569012420473,0.945194529452945,0.493049314931493,15.168997776141,NA,0.542883523318981,0.171648704648096,1.88131743178791
"10",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"worst","normal",50,0.718946,0.834514,0.115568,0.113512981740809,1.20954518982944,0.0928234983380133,0.324773640861635,0.0932123573005762,0.231274585717951,0.9515,0.6437,16.2763071411035,NA,0.251984209978975,0.0928462435629615,0.448660386422814
"11",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"unif","normal",50,0.460916,0.627522,0.166606,0.142392004083344,1.23501260487878,0.157802875523242,0.862736820430751,0.157127894075166,0.821893474810631,0.9531,0.7626,15.168997776141,NA,0.542883523318981,0.159649820299478,0.925498928554014
"12",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"unif","normal",50,0.461488,0.626938,0.16545,0.153842794616012,0.999811695714935,0.0821566506601402,0.241000167010246,0.08319185270147,0.259720350761985,0.9504,0.8702,16.2763071411035,NA,0.251984209978975,0.0829725404246393,0.260851404252415
