"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"null","t",30,0.94092,0.941274,0.000354000000000076,0.00851347086058766,3.62596436507936,0.182230451689227,2.9553854929763,0.180868720823389,0.693187453555137,0.936897009833434,0.335251414810355,15.168997776141,NA,0.542883523318981,0.182413032669227,4.02059512159299
"2",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"null","t",30,0.940694,0.940354,-0.000340000000000007,0.00354083401486695,1.54678111630011,0.101842214142173,0.624336458813582,0.101266181911305,0.29077295369974,0.9473,0.4743,16.2763071411035,NA,0.251984209978975,0.101916129508685,0.898955964553494
"3",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"cauchy","t",30,0.544886,0.631498,0.086612,0.0593837214311511,1.79411604978355,0.145725798798463,1.64693067652408,0.148298741364664,1.04400773079171,0.957422713154994,0.633306893096884,15.168997776141,NA,0.542883523318981,0.148247723723748,1.87398616957453
"4",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"cauchy","t",30,0.54552,0.63068,0.08516,0.0784725772253544,1.10708160635418,0.0810079199171689,0.330338334633197,0.0817457825561737,0.303667971716997,0.9548,0.785,16.2763071411035,NA,0.251984209978975,0.0812834836401178,0.38987973404431
"5",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"realistic","t",30,0.432982,0.552978,0.119996,0.100369333547106,1.31668901115225,0.147257749819411,1.09005606035346,0.149688314858417,1.0931284004105,0.958363337003303,0.755180472425183,15.168997776141,NA,0.542883523318981,0.148559923660216,1.16698412445429
"6",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"realistic","t",30,0.431574,0.553758,0.122184,0.115830153885527,1.00083938387545,0.0786627576328519,0.277305321183254,0.0794098724631685,0.302580555580507,0.9496,0.8681,16.2763071411035,NA,0.251984209978975,0.0789189508220377,0.295070877073507
"7",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"large","t",30,0.219788,0.500212,0.280424,0.25788487652112,1.00885547448463,0.146240926970594,0.540074580410353,0.145937888201948,0.725800320049194,0.948889817963593,0.859571954390878,15.168997776141,NA,0.542883523318981,0.14796763432729,0.550935628481852
"8",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"large","t",30,0.220978,0.49853,0.277552,0.278284251721707,0.912067077546296,0.0769503831767634,0.19213455615862,0.0771357466714624,0.241415054801228,0.9496,0.9365,16.2763071411035,NA,0.251984209978975,0.0769538671129311,0.192513121710647
"9",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"worst","t",30,0.715952,0.828112,0.11216,0.115052433516978,1.97188858308358,0.171497767411531,1.55601688261101,0.170513013476267,0.590132252934086,0.945494559455946,0.506750685068507,15.168997776141,NA,0.542883523318981,0.171522157165742,1.88947973620132
"10",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"worst","t",30,0.71583,0.82846,0.11263,0.11166101299798,1.21378171668075,0.093796305361046,0.316418975627313,0.0926607003767668,0.23011391362761,0.9494,0.6392,16.2763071411035,NA,0.251984209978975,0.0938013104129824,0.445623084972216
"11",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"unif","t",30,0.460278,0.624588,0.16431,0.141730327410824,1.24712301631375,0.154607407915859,0.859342912775432,0.156630123404744,0.865784511252849,0.954495459545955,0.762276237623762,15.168997776141,NA,0.542883523318981,0.156247535009981,0.926803447442941
"12",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"unif","t",30,0.46065,0.624552,0.163902,0.155480221135771,0.988005409536625,0.082859882796259,0.240861265542287,0.0833840685054036,0.265446352851916,0.9494,0.8812,16.2763071411035,NA,0.251984209978975,0.0832867728768966,0.256435374600193
