"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","eps","RMSE_delta","RMSE_theta"
"1",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"null","lognormal",185,0.952268,0.951796,-0.000472000000000028,-0.0196787271104895,17.8515245238095,0.18346435221333,34.9692617063789,0.182443378086945,3.45065543538574,0.948157458785686,0.835873582629674,15.168997776141,0.542883523318981,0.184466980512377,38.8613361578129
"2",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"null","lognormal",185,0.95193,0.95261,0.000679999999999903,-0.0275812771865468,1.72263117096952,0.102791602722205,0.810483201030343,0.102053977117919,0.844433924539861,0.9402,0.9974,16.2763071411035,0.251984209978975,0.106605878723523,1.15481819461034
"3",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"cauchy","lognormal",185,0.54989,0.636448,0.086558,0.0616631746020301,2.84301198973249,0.147846293990723,10.2608331123609,0.146647296699156,2.03325092431526,0.947990418921628,0.956709601122469,15.168997776141,0.542883523318981,0.149927579112006,10.4431791975416
"4",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"cauchy","lognormal",185,0.55022,0.634852,0.0846319999999999,0.0750393516463683,1.13095534513145,0.0810285121401388,0.348906236923101,0.0813466928395355,0.354955312061979,0.955,0.9804,16.2763071411035,0.251984209978975,0.0815943544743204,0.418420761445494
"5",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"realistic","lognormal",185,0.432654,0.558316,0.125662,0.100378947083276,1.4031200013826,0.151711905132446,3.94376308042643,0.15154937264213,1.18341736994464,0.953628365384615,0.927186057692308,15.168997776141,0.542883523318981,0.153804209707362,3.97572596771028
"6",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"realistic","lognormal",185,0.43342,0.558724,0.125304,0.114424333506625,0.988598901383421,0.0802534297120235,0.266460717753966,0.0799656377044461,0.274201304629869,0.9474,0.9642,16.2763071411035,0.251984209978975,0.080987530667071,0.2808043436849
"7",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"large","lognormal",185,0.220588,0.526118,0.30553,0.258270069621944,1.11527754921077,0.143927793860845,0.58527640574428,0.143962913096216,0.624615997552831,0.9468,0.9506,15.168997776141,0.542883523318981,0.151488319236133,0.623612775939634
"8",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"large","lognormal",185,0.2205,0.526842,0.306342,0.270888716536895,0.959373876272109,0.0768519210624909,0.198668269578826,0.0765528184238601,0.198641405553851,0.9152,0.9586,16.2763071411035,0.251984209978975,0.0846354126787988,0.207350762045913
"9",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"worst","lognormal",185,0.73502,0.841732,0.106712,0.0810644377315392,2.72921564790765,0.171672927155978,8.22813100706755,0.170905762167296,2.27569513130437,0.942154363490793,0.979183987189752,15.168997776141,0.542883523318981,0.173578199577644,8.42900763767697
"10",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"worst","lognormal",185,0.735272,0.84195,0.106678,0.0832647770695692,1.22436574021446,0.0941484388876098,0.347852312980918,0.0939309620119909,0.353016140696162,0.9421,0.9729,16.2763071411035,0.251984209978975,0.0970160169918557,0.475619979680255
"11",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"unif","lognormal",185,0.460604,0.628466,0.167862,0.144371817132578,1.26704137559731,0.156099032635995,1.90190572706576,0.156805324045135,0.950510036964163,0.95359075815163,0.950190078015603,15.168997776141,0.542883523318981,0.157856569964757,1.93699890708433
"12",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"unif","lognormal",185,0.459524,0.627966,0.168442,0.159099621520406,0.988203534531826,0.083025435471849,0.24170982880782,0.0835091008453829,0.243169009690878,0.9487,0.9634,16.2763071411035,0.251984209978975,0.0835494043721805,0.257300417501047
