"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"null","normal",100,0.949488,0.949848,-0.000360000000000027,-0.00813984229968896,4.01922380952381,0.183623246275435,3.16508839555322,0.183091306883638,0,0.943791164658635,-0.004,15.168997776141,NA,0.542883523318981,0.18378798252045,4.44379811935307
"2",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"null","normal",100,0.949976,0.949848,0.000128000000000017,0.00462257036838279,1.46154705143161,0.0428404622118407,0.596725309315635,0.0425199751597648,0,0.942,0,16.6096404744368,NA,0.2,0.0430755889724156,0.819399893671814
"3",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"cauchy","normal",100,0.550072,0.634868,-0.084796,-0.0637599272234235,1.73523795093795,0.144392476155706,1.50561441913958,0.148501104787593,0,0.963871485943775,-0.004,15.168997776141,NA,0.542883523318981,0.145916769181056,1.72177153356885
"4",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"cauchy","normal",100,0.54859,0.634482,-0.085892,-0.0829021104211494,1.06396609333865,0.0336361417780987,0.253286172515708,0.0349013186801477,0,0.96,0,16.6096404744368,NA,0.2,0.0337687647599091,0.301726308021686
"5",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"realistic","normal",100,0.433676,0.555084,-0.121408,-0.0964608677079263,1.35535682095682,0.154617302633695,1.28143985713175,0.151874642696215,0,0.956,0,15.168997776141,NA,0.542883523318981,0.15661695209433,1.35994041848816
"6",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"realistic","normal",100,0.432608,0.554216,-0.121608,-0.118137467965847,0.958794955848908,0.0357104405558683,0.208732325185676,0.0346686923042033,0,0.944,0,16.6096404744368,NA,0.2,0.0358786866718151,0.216854860242268
"7",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"large","normal",100,0.217546,0.500718,-0.283172,-0.261417634151349,0.980276543640398,0.144621321296675,0.469456767805178,0.145946940147433,0,0.95,0,15.168997776141,NA,0.542883523318981,0.146248347023387,0.476270910613837
"8",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"large","normal",100,0.218632,0.498382,-0.27975,-0.278048115711695,0.924999265238727,0.0377558688476045,0.146957905153566,0.0360643826066571,0,0.944,0,16.6096404744368,NA,0.2,0.0377942064682974,0.149069075094738
"9",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"worst","normal",100,0.717486,0.83443,-0.116944,-0.116498147080625,2.0984064990565,0.171696716537974,1.85121073099943,0.171987518058783,0,0.958,0,15.168997776141,NA,0.542883523318981,0.171697295420596,2.20525719759585
"10",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"worst","normal",100,0.718272,0.835496,-0.117224,-0.124415060583428,1.13605207462995,0.0404332856733548,0.255825264317106,0.04033599775874,0,0.95,0,16.6096404744368,NA,0.2,0.0410677725553463,0.348090717773428
"11",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"unif","normal",100,0.460084,0.627044,-0.16696,-0.143105473406545,1.17374848501172,0.162013089867366,0.752876806423931,0.158437858425708,0,0.948,0,15.168997776141,NA,0.542883523318981,0.163759823300372,0.801100317499194
"12",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"unif","normal",100,0.460424,0.627216,-0.166792,-0.164249982612572,0.946270513311659,0.0389223062898451,0.170482644913196,0.0366459144118157,0,0.932,0,16.6096404744368,NA,0.2,0.0390052275896258,0.176650198467829
