"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"null","t",30,0.940622,0.940678,-5.6000000000056e-05,-0.00144347038380467,3.51083464285714,0.182905059004231,2.8713477699623,0.181195619776954,0,0.939643520192887,-0.0046,15.168997776141,NA,0.542883523318981,0.182910321423935,3.88086273248751
"2",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"null","t",30,0.940938,0.940614,0.000324000000000102,-0.000293448982565565,1.52312265608689,0.0592980400373311,0.614465394174067,0.0595224539961511,0,0.9516,0,16.2763071411035,NA,0.251984209978975,0.0593012545863492,0.875128313543945
"3",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"cauchy","t",30,0.545018,0.629822,-0.084804,-0.0609165604817901,1.76867477799978,0.147393342501193,1.62037105051998,0.14786106169624,0,0.953724221175999,-0.0017,15.168997776141,NA,0.542883523318981,0.149316466541404,1.83853153666076
"4",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"cauchy","t",30,0.54394,0.630016,-0.086076,-0.0803482330478365,1.13116836970622,0.0488139177935735,0.356844115899438,0.0485932389283145,0,0.9488,0,16.2763071411035,NA,0.251984209978975,0.049148813664381,0.425178242863725
"5",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"realistic","t",30,0.432282,0.552266,-0.119984,-0.0998954878161512,1.30223870573871,0.150409091174202,1.04792082510484,0.149842062590181,0,0.955435403104657,-0.0015,15.168997776141,NA,0.542883523318981,0.151744663924667,1.12246783120175
"6",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"realistic","t",30,0.432462,0.55228,-0.119818,-0.118251883097924,0.976571404335889,0.0481264402614493,0.271560677845386,0.048581229778616,0,0.9534,0,16.2763071411035,NA,0.251984209978975,0.0481519155838044,0.282149573300786
"7",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"large","t",30,0.22025,0.500242,-0.279992,-0.256859156014881,1.01045693492868,0.146106678246822,0.551216438181653,0.145759613089841,0,0.946594669466947,-1e-04,15.168997776141,NA,0.542883523318981,0.147926636881801,0.562174613617073
"8",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"large","t",30,0.220554,0.500354,-0.2798,-0.273394944774495,0.92658606908783,0.0488579243756939,0.194761456267659,0.0493531345123576,0,0.9476,0,16.2763071411035,NA,0.251984209978975,0.0492759729152332,0.196567657352481
"9",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"worst","t",30,0.71497,0.828764,-0.113794,-0.10834152450553,1.97497315295815,0.172279691839487,1.54712567977303,0.170726863076355,0,0.946889417883577,-2e-04,15.168997776141,NA,0.542883523318981,0.172365952871576,1.88392280855505
"10",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"worst","t",30,0.715288,0.828372,-0.113084,-0.121447027649693,1.19674675912362,0.0567576808101399,0.3178861658596,0.0564900169680989,0,0.9453,0,16.2763071411035,NA,0.251984209978975,0.0573705025463022,0.434868087464799
"11",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"unif","t",30,0.460532,0.626084,-0.165552,-0.141820048191208,1.25217585181159,0.156157390084165,0.87940306272556,0.156397732245615,0,0.9512,0,15.168997776141,NA,0.542883523318981,0.157950422647592,0.947300151657495
"12",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"unif","t",30,0.460126,0.623992,-0.163866,-0.159147711628294,0.990791786382865,0.0501716320989273,0.244202523204648,0.0509282654981624,0,0.9521,0,16.2763071411035,NA,0.251984209978975,0.0503930046001297,0.26053410681542
