"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"null","t",30,0.941126,0.941096,2.99999999999745e-05,-0.0086241195823119,3.53533809523809,0.177950645507164,2.89270645056357,0.181348837698571,0,0.953911823647295,-0.002,15.168997776141,NA,0.542883523318981,0.178160955380693,3.91315186075691
"2",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"null","t",30,0.941,0.940746,0.000253999999999976,-0.00141921774460983,1.31902348466706,0.041886169861348,0.382449903739606,0.0423760248762336,0,0.956,0,16.6096404744368,NA,0.2,0.0419195763727948,0.567317027395584
"3",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"cauchy","t",30,0.54579,0.630216,-0.084426,-0.0674448573738308,1.89054451659452,0.147451074298085,1.85392898575394,0.146838288170878,0,0.939775100401606,-0.004,15.168997776141,NA,0.542883523318981,0.148425666636703,2.10195887770767
"4",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"cauchy","t",30,0.545646,0.630312,-0.084666,-0.0817939082884334,1.06354066251933,0.035921552447075,0.255471264250156,0.0348647126817112,0,0.938,0,16.6096404744368,NA,0.2,0.0360361879366784,0.303333339998809
"5",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"realistic","t",30,0.43097,0.553328,-0.122358,-0.0934386716409928,1.32815839160839,0.152159410886651,1.16907769298303,0.152513165515766,0,0.942,0,15.168997776141,NA,0.542883523318981,0.154883226574438,1.24501496398044
"6",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"realistic","t",30,0.43173,0.5535,-0.12177,-0.119010606327387,0.975934337063203,0.0332275492621728,0.204700160205542,0.0343359310766944,0,0.956,0,16.6096404744368,NA,0.2,0.0333419298093344,0.21833043565523
"7",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"large","t",30,0.22013,0.499756,-0.279626,-0.259620242293292,0.974816226016845,0.156953612689338,0.539709814158068,0.147883195092613,0,0.934,0,15.168997776141,NA,0.542883523318981,0.158223471323487,0.544870765571011
"8",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"large","t",30,0.219828,0.499772,-0.279944,-0.271622023357382,0.911108993332841,0.0364852220720436,0.15012151322633,0.0361894947337638,0,0.954,0,16.6096404744368,NA,0.2,0.0374222757844391,0.150531984861133
"9",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"worst","t",30,0.714714,0.829004,-0.11429,-0.113566428284052,1.89197969252969,0.168292906128039,1.44616123740673,0.171818112728036,0,0.952,0,15.168997776141,NA,0.542883523318981,0.168294461611335,1.75368356181184
"10",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"worst","t",30,0.71499,0.828908,-0.113918,-0.12596425957463,1.12226139004105,0.0405942086517746,0.236462120730832,0.0402519453714225,0,0.934,0,16.6096404744368,NA,0.2,0.0423438560573217,0.324521894551818
"11",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"unif","t",30,0.460302,0.624964,-0.164662,-0.160911186082941,1.29775633810634,0.143826274556896,0.806729274141816,0.152507514413743,0,0.958,0,15.168997776141,NA,0.542883523318981,0.143875174571418,0.89945662833799
"12",5e+05,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"unif","t",30,0.461396,0.625962,-0.164566,-0.159183734899168,0.97662696038947,0.036439727906607,0.186001210169157,0.0363652385818677,0,0.944,0,16.6096404744368,NA,0.2,0.0368350722481059,0.201166948684222
"13",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,500,"null","lognormal",30,0.957066,0.956954,0.000112000000000001,0.0747288633570157,4.3772,0.18237979185095,3.50354150817889,0.17715813071084,0,0.90427868852459,-0.024,15.168997776141,NA,0.542883523318981,0.197053456637623,4.93616480068609
